,active_id,passive_id,active_reliability,passive_reliability,passive_opinion,accepted,result,total_payout
0,86,29,0.8709299685312517,0.5587988413023101,0.55,True,True,2
1,86,30,0.8709299685312517,0.2734516584986505,0.55,True,True,4
2,30,7,0.2734516584986505,0.027273952269002866,0.45,True,False,2
3,70,3,0.13243031698343088,0.6418336987949084,0.45,True,False,0
4,24,91,0.3787240718410003,0.1959432094326894,0.45,True,False,-2
5,83,61,0.5625549197627102,0.5053649165391164,0.55,True,True,0
6,0,43,0.8827035543543748,0.47947134741576547,0.55,True,True,2
7,50,7,0.2467456711592364,0.027273952269002866,0.45,True,False,0
8,15,32,0.4256666459969388,0.8843595638420733,0.55,True,True,2
9,28,78,0.4925642183840966,0.7397044909741733,0.45,True,False,0
10,7,69,0.027273952269002866,0.6472246847277785,0.45,True,False,-2
11,63,36,0.6995856508849027,0.5411906539861217,0.45,True,False,-4
12,68,65,0.7063300926565279,0.39220527380840264,0.55,True,True,-2
13,27,35,0.7629507146245111,0.5888586835526652,0.45,True,False,-4
14,33,93,0.955659464972479,0.5254946728265034,0.55,True,True,-2
15,68,99,0.7063300926565279,0.5614939800532877,0.55,True,True,0
16,63,47,0.6995856508849027,0.4279423463300204,0.55,True,True,2
17,94,86,0.6781071589483186,0.8709299685312517,0.45,True,False,0
18,85,28,0.8444554153085194,0.4925642183840966,0.55,True,True,2
19,57,78,0.016109036539691313,0.7397044909741733,0.45,True,False,0
20,96,95,0.8208925951448197,0.6509993972433411,0.45,True,False,-2
21,52,97,0.9075534299999537,0.5902702394347189,0.55,True,True,0
22,99,91,0.5614939800532877,0.1959432094326894,0.45,True,False,-2
23,43,69,0.47947134741576547,0.6472246847277785,0.55,True,True,0
24,91,86,0.1959432094326894,0.8709299685312517,0.55,True,True,2
25,29,99,0.5587988413023101,0.5614939800532877,0.45,True,False,0
26,69,87,0.6472246847277785,0.32399559422036395,0.55,True,True,2
27,71,23,0.8781656100474061,0.7208123426898979,0.55,True,True,4
28,33,73,0.955659464972479,0.8547449106915094,0.55,True,True,6
