,active_id,passive_id,active_reliability,passive_reliability,passive_opinion,accepted,result,total_payout
0,91,41,0.20724611653396197,0.13129517389033954,0.55,True,True,2
1,71,58,0.07117438210047435,0.4118415880032315,0.45,True,False,0
2,76,58,0.018556183176972576,0.4118415880032315,0.45,True,False,-2
3,65,58,0.30852079892328993,0.4118415880032315,0.55,True,True,0
4,15,83,0.17070120604677888,0.1364787996343571,0.55,True,True,2
5,45,66,0.27137112135451447,0.2763679180869479,0.45,True,False,0
6,68,66,0.054684748553290495,0.2763679180869479,0.45,True,False,-2
7,42,66,0.056370149726430105,0.2763679180869479,0.55,True,True,0
8,76,50,0.018556183176972576,0.3115900095998313,0.55,True,True,2
9,1,9,0.26665350146056593,0.08329482473280125,0.55,True,True,4
10,50,23,0.3115900095998313,0.18098490676782394,0.45,True,False,2
11,47,23,0.4091140130873249,0.18098490676782394,0.45,True,False,0
12,79,23,0.24978922769808326,0.18098490676782394,0.45,True,False,-2
13,95,23,0.07403668965687367,0.18098490676782394,0.45,True,False,-4
14,3,23,0.23676160509493202,0.18098490676782394,0.55,True,True,-2
15,44,29,0.0917857315810013,0.18510142435376284,0.45,True,False,-4
16,10,29,0.06332505466691517,0.18510142435376284,0.45,True,False,-6
17,94,29,0.21760921854345086,0.18510142435376284,0.55,True,True,-4
18,16,64,0.10959695212325071,0.1686088846057616,0.45,True,False,-6
19,96,64,0.3387459817477528,0.1686088846057616,0.45,True,False,-8
20,40,64,0.11478019167316256,0.1686088846057616,0.45,True,False,-10
21,58,64,0.4118415880032315,0.1686088846057616,0.45,True,False,-12
22,8,64,0.05545878585874701,0.1686088846057616,0.45,True,False,-14
23,95,64,0.07403668965687367,0.1686088846057616,0.45,True,False,-16
24,81,64,0.3578827445616286,0.1686088846057616,0.45,True,False,-18
25,67,64,0.4522640039290227,0.1686088846057616,0.55,True,True,-16
26,89,24,0.02184433110882209,0.3338305638453244,0.45,True,False,-18
27,45,24,0.27137112135451447,0.3338305638453244,0.55,True,True,-16
28,55,32,0.16580560462302538,0.29767462460489075,0.45,True,False,-18
29,91,32,0.20724611653396197,0.29767462460489075,0.45,True,False,-20
30,18,32,0.3676032568049543,0.29767462460489075,0.45,True,False,-22
31,24,32,0.3338305638453244,0.29767462460489075,0.45,True,False,-24
32,75,32,0.08499138676759214,0.29767462460489075,0.45,True,False,-26
33,61,32,0.1082631002709324,0.29767462460489075,0.45,True,False,-28
34,79,32,0.24978922769808326,0.29767462460489075,0.45,True,False,-30
35,59,32,0.43347669468567157,0.29767462460489075,0.45,True,False,-32
36,47,32,0.4091140130873249,0.29767462460489075,0.45,True,False,-34
37,15,32,0.17070120604677888,0.29767462460489075,0.45,True,False,-36
38,12,32,0.04605435109965876,0.29767462460489075,0.45,True,False,-38
39,10,32,0.06332505466691517,0.29767462460489075,0.45,True,False,-40
40,59,32,0.43347669468567157,0.29767462460489075,0.45,False,0,-40
41,33,32,0.37210616419905607,0.29767462460489075,0.45,True,False,-42
42,59,32,0.43347669468567157,0.29767462460489075,0.45,False,0,-42
43,48,32,0.16859037048679992,0.29767462460489075,0.45,True,False,-44
44,24,32,0.3338305638453244,0.29767462460489075,0.45,False,0,-44
45,41,32,0.13129517389033954,0.29767462460489075,0.45,True,False,-46
46,35,32,0.24958375678392714,0.29767462460489075,0.45,True,False,-48
47,28,32,0.3524944407851426,0.29767462460489075,0.55,True,True,-46
48,57,47,0.12939138727075236,0.4091140130873249,0.45,True,False,-48
49,22,47,0.21529916340404484,0.4091140130873249,0.55,True,True,-46
50,88,60,0.12408063373333265,0.09715301363824498,0.45,True,False,-48
51,85,60,0.20808647707310848,0.09715301363824498,0.45,True,False,-50
52,2,60,0.05693265806047355,0.09715301363824498,0.45,True,False,-52
53,41,60,0.13129517389033954,0.09715301363824498,0.45,True,False,-54
54,49,60,0.02213197076813655,0.09715301363824498,0.45,True,False,-56
55,59,60,0.43347669468567157,0.09715301363824498,0.55,True,True,-54
56,47,89,0.4091140130873249,0.02184433110882209,0.45,True,False,-56
57,60,89,0.09715301363824498,0.02184433110882209,0.45,True,False,-58
58,24,89,0.3338305638453244,0.02184433110882209,0.45,True,False,-60
