,agent_id,reliability,total_payoff
0,0.0,0.8528748722850408,-28.0
1,1.0,1.0683353931280042,20.0
2,2.0,0.5120175811520755,-18.0
3,3.0,0.27181414892997136,-28.0
4,4.0,0.28416131006274736,-17.0
5,5.0,0.7362153961186737,-7.0
6,6.0,0.377735774184105,-18.0
7,7.0,0.4094403368290066,-12.0
8,8.0,0.9175786393513119,4.0
9,9.0,0.6161511801767305,-3.0
10,10.0,0.05180405385749154,-43.0
11,11.0,0.015610022703471671,-44.0
12,12.0,0.7006035631303147,-14.0
13,13.0,0.08903171099144686,-34.0
14,14.0,0.5251802877304864,-16.0
15,15.0,0.19937503756398472,-42.0
16,16.0,0.7509071848801661,11.0
17,17.0,0.9413085654673841,19.0
18,18.0,0.4141550219542454,-12.0
19,19.0,0.4293055390765511,-30.0
20,20.0,0.8553023732447378,18.0
21,21.0,0.6631204748190758,-7.0
22,22.0,0.18103129498642145,-29.0
23,23.0,0.18232808403221168,-24.0
24,24.0,0.6693799083411063,14.0
25,25.0,0.5399837761456372,-2.0
26,26.0,0.9085979249215557,15.0
27,27.0,0.5730695874464852,-24.0
28,28.0,0.19126991172812519,-20.0
29,29.0,0.4647821966010438,-21.0
30,30.0,0.45624345638459524,-26.0
31,31.0,0.28211636139473817,-28.0
32,32.0,0.19634752853114573,-16.0
33,33.0,0.33576452023647035,-30.0
34,34.0,0.8880991717301001,6.0
35,35.0,0.5803070902098111,-8.0
36,36.0,0.4141580600154369,-34.0
37,37.0,0.29080800578143157,-29.0
38,38.0,0.49247569255623147,-22.0
39,39.0,0.5452894281604113,-2.0
40,40.0,0.5770620438342613,-20.0
41,41.0,0.42129074378821624,-17.0
42,42.0,0.16342102631657562,-40.0
43,43.0,0.6156475006826005,-18.0
44,44.0,0.21642236241266655,-35.0
45,45.0,0.870751555103195,-3.0
46,46.0,0.35311078540999874,-20.0
47,47.0,0.6296937747797416,-1.0
48,48.0,-0.04810492217115914,-32.0
49,49.0,0.1872387819994068,-26.0
50,50.0,0.6304815303856264,-7.0
51,51.0,0.5079057727962752,-41.0
52,52.0,0.7462877850372469,11.0
53,53.0,0.47389341167761084,-12.0
54,54.0,0.1644836769608814,-31.0
55,55.0,0.09682693380291474,-15.0
56,56.0,0.5024447175509171,-8.0
57,57.0,0.6588646388980592,8.0
58,58.0,0.21747593222014944,-33.0
59,59.0,0.6764409753856561,-4.0
60,60.0,0.7474307353597919,11.0
61,61.0,0.11701533097519046,-29.0
62,62.0,0.6691276313208743,7.0
63,63.0,0.6128725720277758,-29.0
64,64.0,0.741318284603653,9.0
65,65.0,0.6255403616783113,-2.0
66,66.0,0.6879927144153366,11.0
67,67.0,0.5845309303454842,-20.0
68,68.0,0.693442810824934,4.0
69,69.0,0.3467914196947959,-21.0
70,70.0,0.647159327523406,-1.0
71,71.0,0.39857562426826254,-37.0
72,72.0,0.4499630207527229,-36.0
73,73.0,0.7024467758082982,-28.0
74,74.0,0.5308905393873646,-24.0
75,75.0,0.49758280869872623,-35.0
76,76.0,0.4992069210349215,-8.0
77,77.0,0.5028309658172876,-23.0
78,78.0,0.30192848532881333,-31.0
79,79.0,0.3725371162567068,-29.0
80,80.0,0.2967820401616907,-29.0
81,81.0,0.34829296956857525,-14.0
82,82.0,1.012830364438126,4.0
83,83.0,0.6065003873769684,-8.0
84,84.0,0.3145086112368085,-33.0
85,85.0,0.8089489497526261,-4.0
86,86.0,0.676018823104315,-5.0
87,87.0,0.7074793436734537,9.0
88,88.0,0.3457603277210453,-13.0
89,89.0,0.6068431964955746,-15.0
90,90.0,0.5402199310453478,-21.0
91,91.0,0.6920605121198959,-10.0
92,92.0,0.8293087774512609,21.0
93,93.0,0.44995444110063465,-19.0
94,94.0,1.1416662333395902,19.0
95,95.0,0.29830082070126474,-45.0
96,96.0,0.3862612547619606,-33.0
97,97.0,0.37605473083189356,-30.0
98,98.0,0.3411103592475955,-32.0
99,99.0,0.5234243828549027,-2.0
