,agent_id,reliability,total_payoff
0,0.0,0.06034050145257486,-14.0
1,1.0,0.7642969281005088,108.0
2,2.0,0.17098131929602095,24.0
3,3.0,-0.05687069538515588,30.0
4,4.0,0.30266299043026756,-3.0
5,5.0,0.4209760901460636,53.0
6,6.0,0.6348516800942063,62.0
7,7.0,0.1569717272924861,19.0
8,8.0,0.5093851229670834,30.0
9,9.0,0.18439119549503757,25.0
10,10.0,0.7126634464861984,65.0
11,11.0,0.5409857851248304,58.0
12,12.0,0.4547919435429276,48.0
13,13.0,0.8598178787421618,102.0
14,14.0,0.2870845026039419,42.0
15,15.0,0.26865283924585814,17.0
16,16.0,-0.45927908881810997,12.0
17,17.0,0.26169550074096404,15.0
18,18.0,1.2906151492389881,119.0
19,19.0,0.1099323206474832,-9.0
20,20.0,0.012800770122311289,10.0
21,21.0,0.06451720628261198,16.0
22,22.0,0.3066973629828643,23.0
23,23.0,0.3017905739901149,51.0
24,24.0,0.3503924069644584,52.0
25,25.0,0.6571889972766488,71.0
26,26.0,0.2801567078664524,7.0
27,27.0,0.45693013339991706,54.0
28,28.0,0.8848421025093666,146.0
29,29.0,0.8553349514089154,83.0
30,30.0,0.663772085832856,64.0
31,31.0,0.46391375187719774,19.0
32,32.0,0.6290711411045484,60.0
33,33.0,0.038534093205356,-16.0
34,34.0,1.1085854474457943,69.0
35,35.0,0.3486574641127617,39.0
36,36.0,0.5249916113020354,59.0
37,37.0,0.586827846110441,81.0
38,38.0,0.9562870360618503,105.0
39,39.0,0.41902479583650437,47.0
40,40.0,0.49178579893722324,45.0
41,41.0,0.19460405521403024,-1.0
42,42.0,0.37140134373016853,34.0
43,43.0,0.916420228104288,68.0
44,44.0,0.4739827909094726,17.0
45,45.0,0.6657759378218691,56.0
46,46.0,0.06059840409610723,16.0
47,47.0,0.44126435335000463,56.0
48,48.0,0.46420546957466735,66.0
49,49.0,0.5244421520769835,49.0
50,50.0,0.44798372304842,39.0
51,51.0,0.27395198787693664,16.0
52,52.0,0.471497091933614,72.0
53,53.0,0.4324874055468453,57.0
54,54.0,0.6368632110266983,59.0
55,55.0,1.0070645056867151,150.0
56,56.0,0.15024750205222193,18.0
57,57.0,0.33238117578752885,56.0
58,58.0,0.2709309073566654,7.0
59,59.0,0.6382234708494983,63.0
60,60.0,0.33034762332010437,6.0
61,61.0,0.237183414478859,5.0
62,62.0,0.3771537400992287,13.0
63,63.0,0.379083402910111,40.0
64,64.0,0.07646923081278051,31.0
65,65.0,0.4817176082058568,28.0
66,66.0,0.30920237945892026,13.0
67,67.0,0.4389137621075734,50.0
68,68.0,0.6566469864426688,98.0
69,69.0,0.6685084842525297,78.0
70,70.0,1.0388782778055203,124.0
71,71.0,0.5681673193124754,63.0
72,72.0,0.3724663145245073,16.0
73,73.0,0.07471815554299871,-4.0
74,74.0,0.3340834202636467,27.0
75,75.0,0.4669813358881803,45.0
76,76.0,0.36029135373469373,37.0
77,77.0,1.0084003860589128,134.0
78,78.0,0.5528908806562864,75.0
79,79.0,0.44967483450901397,58.0
80,80.0,0.49668915136467,55.0
81,81.0,0.49852858685561074,72.0
82,82.0,0.16302269046284645,25.0
83,83.0,0.21270727813727675,44.0
84,84.0,0.5660471171251812,34.0
85,85.0,0.3687751167787896,54.0
86,86.0,0.1422150380861248,10.0
87,87.0,0.7084058546268712,66.0
88,88.0,0.7989907373833159,127.0
89,89.0,0.6053453699413814,36.0
90,90.0,0.9224328509397306,91.0
91,91.0,0.26622641849383755,30.0
92,92.0,0.742702340238251,92.0
93,93.0,0.6049712090156891,89.0
94,94.0,0.44446407935559284,47.0
95,95.0,0.6127111473291388,25.0
96,96.0,0.5894158946832575,40.0
97,97.0,0.2830572049219534,43.0
98,98.0,0.4035776807658005,32.0
99,99.0,0.32976663386197125,41.0
