,active_id,passive_id,active_reliability,passive_reliability,passive_opinion,accepted,result,total_payout
0,97,3,0.09396592772368151,0.1830925315641032,0.45,True,False,-2
1,40,66,0.014697308245834595,0.20609855139593403,0.45,True,False,-4
2,43,73,0.40999284042575435,0.42640668009874105,0.55,True,True,-2
3,20,13,0.4668353537364013,0.407110330485155,0.45,True,False,-4
4,4,51,0.5772987061685922,0.21016291530647524,0.45,True,False,-6
5,65,23,0.39757754906854226,0.24064866012658037,0.45,True,False,-8
6,10,27,0.5084078835912844,0.5980480616159116,0.55,True,True,-6
7,14,49,0.5885016892987258,0.6116887263187174,0.45,True,False,-8
8,27,96,0.5980480616159116,0.33469145430894776,0.55,True,True,-6
9,5,31,0.041268685362691127,0.21491764078912745,0.45,True,False,-8
10,78,55,0.04023750153475303,0.2860381311578194,0.45,True,False,-10
11,29,19,0.822496050235872,0.9857474915273329,0.45,True,False,-12
12,10,85,0.5084078835912844,0.41989354647325805,0.55,True,True,-10
13,9,86,0.6303054824850925,0.9359458937377645,0.55,True,True,-8
14,11,87,0.9653973330309877,0.6111567362510183,0.55,True,True,-6
15,20,21,0.4668353537364013,0.3196257743423566,0.55,True,True,-4
16,61,96,0.3012118087214062,0.33469145430894776,0.45,True,False,-6
17,55,41,0.2860381311578194,0.9455296845109578,0.45,True,False,-8
18,19,39,0.9857474915273329,0.23351922110734835,0.55,True,True,-6
19,83,30,0.23317765934765067,0.014832406491152472,0.45,True,False,-8
20,14,12,0.5885016892987258,0.2524504094413995,0.55,True,True,-6
21,38,81,0.2768797809867515,0.7618840700932562,0.45,True,False,-8
22,58,44,0.8334734213600027,0.7563621609348713,0.55,True,True,-6
23,65,14,0.39757754906854226,0.5885016892987258,0.45,True,False,-8
24,71,79,0.7685274011367318,0.12356012432968466,0.55,True,True,-6
25,16,50,0.7421641250406731,0.04977449766206876,0.55,True,True,-4
26,25,59,0.574720820159425,0.5028481500670534,0.45,True,False,-6
27,27,29,0.5980480616159116,0.822496050235872,0.45,True,False,-8
28,85,54,0.41989354647325805,0.2634610235834449,0.45,True,False,-10
29,59,83,0.5028481500670534,0.23317765934765067,0.55,True,True,-8
30,84,96,0.2639537374921861,0.33469145430894776,0.55,True,True,-6
31,48,94,0.07842891313770317,0.361676508051471,0.55,True,True,-4
32,65,19,0.39757754906854226,0.9857474915273329,0.45,True,False,-6
33,48,99,0.07842891313770317,0.46133233680635777,0.45,True,False,-8
34,33,99,0.2633730205564928,0.46133233680635777,0.45,True,False,-10
35,66,92,0.20609855139593403,0.5663105481628445,0.55,True,True,-8
36,58,97,0.8334734213600027,0.09396592772368151,0.55,True,True,-6
37,4,52,0.5772987061685922,0.023808869439607805,0.55,True,True,-4
38,83,35,0.23317765934765067,0.9254234553049052,0.45,True,False,-6
39,7,65,0.21070349498753205,0.39757754906854226,0.45,True,False,-8
40,19,37,0.9857474915273329,0.7621953121881235,0.55,True,True,-6
